ko_wpos	ko_pospat	ko	en	en_semantic_tags	en_semantic_tags_tokenwise	category	note
가장__01/MAG 크__01/VA	MAG VA	가장__01 크__01	biggest	N3.2+++ N5+++ A11.1+++ S1.2.5+++ X5.2+++		NUMBERS & MEASUREMENT	연결
최대/NNG 규모/NNG	NNG NNG	최대 규모	largest	N3.2+++ N5+++ A11.1+++		NUMBERS & MEASUREMENT	연결
금융/NNG 위__01/NNG	NNG NNG	금융 위__01	Financial	I1		MONEY & COMMERCE	연결
주도__02/NNG 성장__01/NNG	NNG NNG	주도__02 성장__01	growth	N3.2+/A2.1 A5.1+/A2.1 L3 B2-		NUMBERS & MEASUREMENT	연결
매우__01/MAG 중요하__02/VA	MAG VA	매우__01 중요하__02	very important		"very = ""A13.3 | A4.2+ A5.2+%""; important = ""A11.1+"""		연결(토큰 단위)
소속__01/NNG 공무원/NNG	NNG NNG	소속__01 공무원	officials	G1.1 S7.4+ | G1.1/S2mf S7.1+/S2mf		GOVT. & THE PUBLIC DOMAIN	연결
다음__01/NNG 각호/NNG	NNG NNG	다음__01 각호	following	N4 | S5+ M1 N4 S7.1- X2.4 X2.5+ A6.1+ A1.1.1 A2.2 K5.1 | Z5		NUMBERS & MEASUREMENT	연결
가장__01/MAG 높/VA	MAG VA	가장__01 높	highest	N3.7+++ N5+++ | N3.7+++ N5+++ A11.1+++ S7.1+++ A5.1+++ T3--- X3.2 G2.2+++ E4.1+++ I1.3+++ O4.2--- O4.6+++ S9		NUMBERS & MEASUREMENT	연결
종전__03/NNG 선언__01/NNG	NNG NNG	종전__03 선언__01	declaration	Q2.2		LINGUISTIC ACTIONS, STATES & PROCESSES	연결
도__11/NNG 관계자/NNG	NNG NNG	도__11 관계자	official	G1.1 S7.4+ | G1.1/S2mf S7.1+/S2mf		GOVT. & THE PUBLIC DOMAIN	연결
투자__02/NNG 유치__08/NNG	NNG NNG	투자__02 유치__08	investment	I1.1		MONEY & COMMERCE	연결
직__06/NNG 위원__01/NNG	NNG NNG	직__06 위원__01	members	S5+/S2mf B1		SOCIAL ACTIONS, STATES & PROCESSES	연결
소방__04/NNG 당국__02/NNG	NNG NNG	소방__04 당국__02	authorities	G1.1 S7.1+ S7.4+ X2.2+		GOVT. & THE PUBLIC DOMAIN	연결
자원__02/NNG 봉사자/NNG	NNG NNG	자원__02 봉사자	volunteers	A9-/X7+ Q2.2 | I3.1/I1.1-/S2mf I3.1/X7+/S2mf G3/S2mf		GENERAL & ABSTRACT TERMS	연결
북부__01/NNG 지역__03/NNG	NNG NNG	북부__01 지역__03	northern	M6		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
가장__01/MAG 좋__01/VA	MAG VA	가장__01 좋__01	best	A5.1+++ A13.2 G2.2+++ O4.2+++ | A5.1+++ G2.2+++ O4.2+++		GENERAL & ABSTRACT TERMS	연결
현지__03/NNG 시각__03/NNG	NNG NNG	현지__03 시각__03	local	H3/S2mf F2/H1c | M7		ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
절반/NNG 이상__05/NNG	NNG NNG	절반 이상__05	half	N1 A13.4 | N5 | N5c		NUMBERS & MEASUREMENT	연결
중앙지__02/NNG 법__01/NNG	NNG NNG	중앙지__02 법__01	Central	Z3c		NAMES & GRAMMATICAL WORDS	연결
배__09/NNG 이상__05/NNG	NNG NNG	배__09 이상__05	times	Z3		NAMES & GRAMMATICAL WORDS	연결
사진__07/NNG 속__01/NNG	NNG NNG	사진__07 속__01	photo	C1		ARTS & CRAFTS	연결
더__01/MAG 크__01/VA	MAG VA	더__01 크__01	greater	A5.1++ A11.1++ N3.2++ N5++ X5.2++		GENERAL & ABSTRACT TERMS	연결
국무__02/NNG 장관__02/NNG	NNG NNG	국무__02 장관__02	Secretary	I3.2/S2mf S7.1+/S2mf		MONEY & COMMERCE	연결
방탄__01/NNG 소년단/NNG	NNG NNG	방탄__01 소년단	BTS	Z3c		NAMES & GRAMMATICAL WORDS	연결
위원회/NNG 이하__02/NNG	NNG NNG	위원회 이하__02	Committee	S7.1+/S5+c		SOCIAL ACTIONS, STATES & PROCESSES	연결
이날/NNG 오후__02/NNG	NNG NNG	이날 오후__02	pm	G1.1/S2mf B3		GOVT. & THE PUBLIC DOMAIN	연결
더__01/MAG 높/VA	MAG VA	더__01 높	higher	N3.7++ N5++ | N3.7++ N5++ A11.1++ S7.1++ A5.1++ T3-- X3.2 G2.2++ E4.1++ I1.3++ O4.2-- O4.6++ S9 | P1		NUMBERS & MEASUREMENT	연결
더__01/MAG 낫__02/VA	MAG VA	더__01 낫__02	better	A5.1++ | A5.1++ G2.2++ O4.2++ | A5.1++/S2mf		GENERAL & ABSTRACT TERMS	연결
투자__02/NNG 증권__01/NNG	NNG NNG	투자__02 증권__01	Investment	I1.1		MONEY & COMMERCE	연결
더__01/MAG 빠르/VA	MAG VA	더__01 빠르	faster	N3.8++		NUMBERS & MEASUREMENT	연결
가장__01/MAG 많/VA	MAG VA	가장__01 많	the most		"most = ""A13.2 N5+++ | N5+++"""		연결(토큰 단위)
국당/NNG 의원__05/NNG	NNG NNG	국당 의원__05	Party	K1/S1.1.3+ | K1/S1.1.3+c G1.2c S1.1.3+/S2mf S5+c		ENTERTAINMENT, SPORTS & GAMES	연결
가장__01/MAG 크__01/VA	MAG VA	가장__01 크__01	greatest	A5.1+++ A11.1+++ N3.2+++ N5+++ X5.2+++		GENERAL & ABSTRACT TERMS	연결
너무__01/MAG 많/VA	MAG VA	너무__01 많	too many		"too = ""N5++ N5.2+ A13.3""; many = ""N5+"""		연결(토큰 단위)
가장__01/MAG 낮/VA	MAG VA	가장__01 낮	lowest	N3.7--- N5--- I1.3--- A5.1--- A11.1--- E4.1--- X3.2--- G2.2--- S7.1--- | N3.7--- X3.2---		NUMBERS & MEASUREMENT	연결
시__06/NNG 군__06/NNG	NNG NNG	시__06 군__06	cities	M7		MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
재적__01/NNG 위원__01/NNG	NNG NNG	재적__01 위원__01	members	S5+/S2mf B1		SOCIAL ACTIONS, STATES & PROCESSES	연결
전혀__01/MAG 다르__01/VA	MAG VA	전혀__01 다르__01	completely different		"completely = ""A13.2""; different = ""A6.1-"""		연결(토큰 단위)
소득/NNG 주도__02/NNG	NNG NNG	소득 주도__02	income-driven		"income = ""I1.1""; driven = ""M3 A1.1.1 X5.2+ M2 S7.1+ | M3 X5.2+ X8+ M3/H3 Y2"""		연결(토큰 단위)
일정__01/NNG 기간__07/NNG	NNG NNG	일정__01 기간__07	period	T1.3 B1 Q3 P1/T1.3 | T1.3 T1.1.1		TIME	연결
제재__01/NNG 완화__02/NNG	NNG NNG	제재__01 완화__02	sanctions	S7.4 G2.1		SOCIAL ACTIONS, STATES & PROCESSES	연결
소방__04/NNG 재난/NNG	NNG NNG	소방__04 재난	Disaster	A5.1--- X9.2- A1.1.2/W4		GENERAL & ABSTRACT TERMS	연결
법__01/NNG 시행령/NNG	NNG NNG	법__01 시행령	Act	A1.1.1 K4 A5.4- G2.1 P1% | A1.1.1 T1.1.2 A8 K4		GENERAL & ABSTRACT TERMS	연결
담당/NNG 공무원/NNG	NNG NNG	담당 공무원	officials	G1.1 S7.4+ | G1.1/S2mf S7.1+/S2mf		GOVT. & THE PUBLIC DOMAIN	연결
뇌물/NNG 수수__08/NNG	NNG NNG	뇌물 수수__08	bribery	G2.2-/I1.1		GOVT. & THE PUBLIC DOMAIN	연결
대책__03/NNG 마련/NNG	NNG NNG	대책__03 마련	measures	N3.1 | N3.1 F2 K2		NUMBERS & MEASUREMENT	연결
안__02/MAG 좋__01/VA	MAG VA	안__02 좋__01	bad	A5.1- G2.2- O4.2- B2-		GENERAL & ABSTRACT TERMS	연결
의료__02/NNG 기기__13/NNG	NNG NNG	의료__02 기기__13	medical	B3		THE BODY & THE INDIVIDUAL	연결
한류/NNG 팬__01/NNG	NNG NNG	한류 팬__01	fans	A1.1.1 | S2/E2+mf O2		GENERAL & ABSTRACT TERMS	연결
범위/NNG 안__01/NNG	NNG NNG	범위 안__01	limits	A1.7+ | N5.1 A1.7+ M7		GENERAL & ABSTRACT TERMS	연결
의견__01/NNG 수렴__03/NNG	NNG NNG	의견__01 수렴__03	opinions	X2.1 X2.1/A5 X6+		PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
심의위원회/NNG 이하__02/NNG	NNG NNG	심의위원회 이하__02	Committee	S7.1+/S5+c		SOCIAL ACTIONS, STATES & PROCESSES	연결
