k_wpos	ko_pospat	ko	en	en_semantic_tags	category	note
서울__01/NNP	NNP	서울__01	Seoul			미연결
정부__08/NNG	NNG	정부__08	government	G1.1c	GOVT. & THE PUBLIC DOMAIN	연결
구청장/NNG	NNG	구청장	head	B1 S7.1+/S2mf P1/S2mf X1 M6 A4.1 S2mf F2 H5/M4% | S7.1+ K5.1 M1 N5 A2.1+ A11.1+ Q1.2 T1.1.3 | S7.1+ M6	THE BODY & THE INDIVIDUAL	연결
또는/MAG	MAG	또는	or	I2.1/X2.4 | Z5	MONEY & COMMERCE	연결
더__01/MAG	MAG	더__01	more	A13.3 N6++ | N5++ | Z3c	GENERAL & ABSTRACT TERMS	연결
시장__04/NNG	NNG	시장__04	market	I2.2 | I2.2 I2.2/H1	MONEY & COMMERCE	연결
경찰__04/NNG	NNG	경찰__04	police	G2.1 | G2.1 G2.2	GOVT. & THE PUBLIC DOMAIN	연결
후__08/NNG	NNG	후__08	after	N4 | Z5	NUMBERS & MEASUREMENT	연결
중국__01/NNP	NNP	중국__01	China	Z2	NAMES & GRAMMATICAL WORDS	연결
기업__01/NNG	NNG	기업__01	companies	I2.1/S5+c S5+c G3/S5+c S3.1 K4/S5+c	MONEY & COMMERCE	연결
경기도/NNP	NNP	경기도	Province	M7 A4.1	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
특히/MAG	MAG	특히	particular	A4.2+ | A4.2+ X7+	GENERAL & ABSTRACT TERMS	연결
처음/NNG	NNG	처음	first	N4 | N4 P1@	NUMBERS & MEASUREMENT	연결
새롭/VA	VA	새롭	new	T3-	TIME	연결
올해/NNG	NNG	올해	year	T1.3 P1c	TIME	연결
조례__03/NNG	NNG	조례__03	Ordinance	G2.1	GOVT. & THE PUBLIC DOMAIN	연결
가장__01/MAG	MAG	가장__01	most	A13.2 N5+++ | N5+++	GENERAL & ABSTRACT TERMS	연결
행사__01/NNG	NNG	행사__01	event	A3+/A11.1+ A6.2- S1.1.1/X7+ K5	GENERAL & ABSTRACT TERMS	연결
좋__01/VA	VA	좋__01	good	A5.1+ G2.2+ A1.5.2+ | A5.1+ G2.2+ O4.2+ | A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+	GENERAL & ABSTRACT TERMS	연결
중요하__02/VA	VA	중요하__02	important	A11.1+	GENERAL & ABSTRACT TERMS	연결
과정__03/NNG	NNG	과정__03	process	A1.1.1 X4.2 | A1.1.1 Y2 M1 | Z3c	GENERAL & ABSTRACT TERMS	연결
일본__02/NNP	NNP	일본__02	Japan	Z2	NAMES & GRAMMATICAL WORDS	연결
다시__01/MAG	MAG	다시__01	again	N6+ Z4	NUMBERS & MEASUREMENT	연결
때__01/NNG	NNG	때__01	When	Z5	NAMES & GRAMMATICAL WORDS	연결
주민/NNG	NNG	주민	residents	H4 | H4/S2mf	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
없이/MAG	MAG	없이	without	M6 | Z5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
